Label,variant,vaccine,vaccine_num,booster_num,dose,endpoint,t_min,t_max,control_I,case_I,VE,N,L95,U95,Age
AZ,1,AZ,1,0,2,1,0,7,25045,8072,64.8,8409,63.8,65.8,16+
AZ,1,AZ,1,0,2,1,8,69,284404,127291,67.6,89712,67.3,67.9,16+
AZ,1,AZ,1,0,2,1,70,104,201901,122368,57.9,44375,57.5,58.4,16+
AZ,1,AZ,1,0,2,1,105,139,144961,80178,50.5,21811,49.8,51.1,16+
AZ,1,AZ,1,0,2,1,140,154,45924,23366,44.3,7518,43.2,45.4,16+
PF,1,PF,2,0,2,1,0,7,33997,3317,92.3,29111,92,92.6,16+
PF,1,PF,2,0,2,1,8,69,233114,24519,89.7,151373,89.5,89.8,16+
PF,1,PF,2,0,2,1,70,104,92724,22901,80.7,46870,80.3,81,16+
PF,1,PF,2,0,2,1,105,139,85083,31498,72.8,45623,72.4,73.2,16+
PF,1,PF,2,0,2,1,140,154,81408,25688,66.3,22879,65.7,66.9,16+
PF,1,AZ,1,0,2,2,0,7,24974,31,94,411,91.3,95.8,16+
PF,1,AZ,1,0,2,2,8,69,279747,520,85.2,18594,94.7,95.7,16+
PF,1,AZ,1,0,2,2,70,104,166684,828,92.1,5474,91.3,92.7,16+
PF,1,AZ,1,0,2,2,105,139,79004,821,87.4,2598,86.1,88.6,16+
PF,1,AZ,1,0,2,2,140,154,17200,284,80,678,76.8,82.7,16+
PF,1,PF,2,0,2,2,0,7,30880,2,99.4,182,97.7,99.9,16+
PF,1,PF,2,0,2,2,8,69,174697,53,98.7,3861,98.3,99,16+
PF,1,PF,2,0,2,2,70,104,78290,174,96.8,4568,96.3,97.3,16+
PF,1,PF,2,0,2,2,105,139,72026,295,94.9,3641,94.1,95.5,16+
PF,1,PF,2,0,2,2,140,154,41935,195,91.7,1432,90.2,93,16+
AZ,1,AZ,1,0,2,3,8,69,NA,NA,95,19456,93.1,93.7,16+
AZ,1,AZ,1,0,2,3,70,104,NA,NA,93.7,753,91.8,95.2,16+
AZ,1,AZ,1,0,2,3,105,139,NA,NA,90.1,405,86.9,92.6,16+
AZ,1,AZ,1,0,2,3,140,154,NA,NA,84.8,96,76.2,90.3,16+
PF,1,PF,2,0,2,3,8,69,NA,NA,98.5,278,96.5,99.3,16+
PF,1,PF,2,0,2,3,70,104,NA,NA,96,629,94.2,97.2,16+
PF,1,PF,2,0,2,3,105,139,NA,NA,94.5,626,92.5,96,16+
PF,1,PF,2,0,2,3,140,154,NA,NA,91.9,326,88.5,94.3,16+
MD,1,MD,3,0,2,1,0,7,3665,238,95.6,4307,95,96.2,16+
MD,1,MD,3,0,2,1,8,69,19020,1377,93.8,17501,93.4,94.1,16+
MD,1,MD,3,0,2,1,70,104,2540,330,85.6,1572,83.8,87.2,16+
MD,1,MD,3,0,2,2,0,7,3171,1,97.9,14,84.9,99.7,16+
AZ,2,AZ,1,0,1,1,28,42,8470,5547,17.7,479,14.3,21,16+
AZ,2,AZ,1,0,2,1,14,34,476,236,48.9,115,39.2,57.1,16+
AZ,2,AZ,1,0,2,1,35,69,894,505,33.7,121,25,41.5,16+
AZ,2,AZ,1,0,2,1,70,104,1659,767,28.6,139,20.9,35.6,16+
AZ,2,AZ,1,0,2,1,105,139,10788,2974,17.8,299,13.4,21.9,16+
AZ,2,AZ,1,0,2,1,140,174,68757,23122,4,321,1.9,6.1,16+
AZ,2,AZ,1,0,2,1,175,189,147721,98970,0.01,454,-10,0.1,16+
AZ,1,AZ,1,0,1,1,28,42,8470,2133,42.9,971,39.8,45.9,16+
AZ,1,AZ,1,0,2,1,14,34,476,28,82.8,109,74.5,88.4,16+
AZ,1,AZ,1,0,2,1,35,69,894,85,76.5,211,70.3,81.5,16+
AZ,1,AZ,1,0,2,1,70,104,1659,274,69.2,445,64.7,73.1,16+
AZ,1,AZ,1,0,2,1,105,139,10788,4013,53.6,2411,51.6,55.5,16+
AZ,1,AZ,1,0,2,1,140,174,68757,29100,47.4,6950,46.2,48.5,16+
AZ,1,AZ,1,0,2,1,175,189,147721,46103,43.5,8218,42.4,44.5,16+
PF,2,PF,2,0,1,1,0,27,7038,4548,42.8,1567,40.3,45.1,16+
PF,2,PF,2,0,1,1,28,42,29759,19043,31.5,3107,29.9,33.1,16+
PF,2,PF,2,0,2,1,14,34,9516,3369,65.5,3467,63.9,67,16+
PF,2,PF,2,0,2,1,35,69,20163,8768,48.7,3833,47.1,50.2,16+
PF,2,PF,2,0,2,1,70,104,61014,25178,30.1,3957,28.7,31.5,16+
PF,2,PF,2,0,2,1,105,139,144172,82221,15.4,3335,14.2,16.6,16+
PF,2,PF,2,0,2,1,140,174,72018,55719,11.5,1914,10.1,12.9,16+
PF,2,PF,2,0,2,1,175,189,51625,33983,8.8,966,7,10.5,16+
PF,1,PF,2,0,1,1,0,27,7038,5381,45.2,2529,43.3,47.1,16+
PF,1,PF,2,0,1,1,28,42,29759,466,72.3,976,69.4,74.9,16+
PF,1,PF,2,0,2,1,14,34,9516,240,90.9,2118,89.6,92,16+
PF,1,PF,2,0,2,1,35,69,20163,981,85.5,4570,84.5,86.5,16+
PF,1,PF,2,0,2,1,70,104,61014,5562,78.7,12611,78,79.4,16+
PF,1,PF,2,0,2,1,105,139,144172,17077,74.4,23211,73.8,74.9,16+
PF,1,PF,2,0,2,1,140,174,72018,10348,67.4,11211,66.5,68.2,16+
PF,1,PF,2,0,2,1,175,189,51625,8531,62.7,7820,61.6,63.7,16+
MD,2,MD,3,0,1,1,0,27,1429,981,47.9,435,43.1,52.3,16+
MD,2,MD,3,0,1,1,28,42,3122,2086,31.9,414,27.3,36.1,16+
MD,2,MD,3,0,2,1,14,34,855,236,75.1,442,70.8,78.7,16+
MD,2,MD,3,0,2,1,35,69,2286,791,52.8,464,48.2,57.1,16+
MD,2,MD,3,0,2,1,70,104,9822,3828,35.6,1041,32.7,38.4,16+
MD,2,MD,3,0,2,1,105,139,20017,11269,25.3,1580,23.2,27.4,16+
MD,2,MD,3,0,2,1,140,174,8961,6106,15,432,11.6,18.2,16+
MD,2,MD,3,0,2,1,175,189,474,731,14.9,43,3.9,24.7,16+
MD,1,MD,3,0,1,1,0,27,1429,134,60.1,155,51.8,66.9,16+
MD,1,MD,3,0,1,1,28,42,3122,448,57.4,426,52.6,61.8,16+
MD,1,MD,3,0,2,1,14,34,855,13,94.5,187,90.5,96.9,16+
MD,1,MD,3,0,2,1,35,69,2286,73,91.8,694,89.6,93.6,16+
MD,1,MD,3,0,2,1,70,104,9822,674,84.1,2917,82.7,85.3,16+
MD,1,MD,3,0,2,1,105,139,20017,1627,82.8,5817,81.8,83.7,16+
MD,1,MD,3,0,2,1,140,174,8961,1224,76.2,2971,74.7,77.7,16+
MD,1,MD,3,0,2,1,175,189,474,16,80.4,53,67.3,88.2,16+
AZ-PF,2,AZ,1,2,3,1,0,13,40203,17921,58.8,9895,57.8,59.7,16+
AZ-PF,2,AZ,1,2,3,1,14,34,114050,49169,62.4,24025,61.8,63,16+
AZ-PF,2,AZ,1,2,3,1,35,69,98853,55864,52.9,14352,52.1,53.7,16+
AZ-PF,2,AZ,1,2,3,1,70,84,18168,15570,39.6,3670,38,41.1,16+
AZ-MD,2,AZ,1,3,3,1,0,13,22722,8391,68,8888,67,68.9,16+
AZ-MD,2,AZ,1,3,3,1,14,34,53353,23165,70.1,21463,69.5,70.7,16+
AZ-MD,2,AZ,1,3,3,1,35,69,13917,8736,60.9,6096,59.7,62.1,16+
AZ-AZ,2,AZ,1,1,3,1,0,13,107,41,57.7,32,37.6,71.3,16+
AZ-AZ,2,AZ,1,1,3,1,14,34,294,131,55.6,89,44.4,64.6,16+
AZ-AZ,2,AZ,1,1,3,1,35,69,264,164,46.7,73,34.3,56.7,16+
AZ-PF,1,AZ,1,2,3,1,0,13,40203,2088,88.7,12215,88.1,89.2,16+
AZ-PF,1,AZ,1,2,3,1,14,34,114050,2029,95.4,25884,95.1,95.6,16+
AZ-PF,1,AZ,1,2,3,1,35,69,98853,2291,92.6,20621,92.2,92.9,16+
AZ-PF,1,AZ,1,2,3,1,70,84,18168,343,88.1,2287,86.7,89.3,16+
AZ-MD,1,AZ,1,3,3,1,0,13,22722,845,91.5,7964,90.9,92.1,16+
AZ-MD,1,AZ,1,3,3,1,14,34,53353,417,97,11919,96.7,97.3,16+
AZ-MD,1,AZ,1,3,3,1,35,69,13917,92,94.9,1618,93.8,95.9,16+
AZ-AZ,1,AZ,1,1,3,1,0,13,107,10,77.1,24,55.1,88.3,16+
AZ-AZ,1,AZ,1,1,3,1,14,34,294,19,82.3,69,71.3,89,16+
AZ-AZ,1,AZ,1,1,3,1,35,69,264,12,83.3,46,69.7,90.8,16+
PF-PF,2,PF,2,2,3,1,0,13,29459,14615,66.9,14512,66.1,67.6,16+
PF-PF,2,PF,2,2,3,1,14,34,64874,21886,67.2,19232,66.5,67.8,16+
PF-PF,2,PF,2,2,3,1,35,69,110306,42854,55,14256,54.2,55.8,16+
PF-PF,2,PF,2,2,3,1,70,84,61534,41569,45.7,9148,44.7,46.7,16+
PF-MD,2,PF,2,3,3,1,0,13,12718,5308,74,8756,73.1,74.9,16+
PF-MD,2,PF,2,3,3,1,14,34,20045,7288,73.9,12641,73.1,74.6,16+
PF-MD,2,PF,2,3,3,1,35,69,5311,2807,64.4,2760,62.6,66.1,16+
PF-PF,1,PF,2,2,3,1,0,13,29459,631,92.3,6201,91.6,92.9,16+
PF-PF,1,PF,2,2,3,1,14,34,64874,1220,95.1,19087,94.8,95.4,16+
PF-PF,1,PF,2,2,3,1,35,69,110306,3769,91.8,22653,91.4,92.1,16+
PF-PF,1,PF,2,2,3,1,70,84,61534,1222,89.9,7922,89.2,90.5,16+
PF-MD,1,PF,2,3,3,1,0,13,12718,195,93.7,2411,92.7,94.6,16+
PF-MD,1,PF,2,3,3,1,14,34,20045,147,96.6,4003,96,97.1,16+
PF-MD,1,PF,2,3,3,1,35,69,5311,40,94.9,697,93,96.2,16+
MD-PF,2,PF,2,2,3,1,0,13,2031,1393,64.3,1301,61.7,66.8,16+
MD-PF,2,PF,2,2,3,1,14,34,2063,1339,64.9,1344,62.3,67.3,16+
MD-MD,2,PF,2,3,3,1,0,13,1851,1136,68.1,1334,65.6,70.5,16+
MD-MD,2,PF,2,3,3,1,14,34,1913,1149,66.3,1267,63.7,68.8,16+
MD-PF,1,PF,2,2,3,1,0,13,2031,15,95.5,275,92.5,97.3,16+
MD-PF,1,PF,2,2,3,1,14,34,2063,8,94.7,116,89.3,97.3,16+
MD-MD,1,PF,2,3,3,1,0,13,1851,14,95.3,254,92.1,97.2,16+
MD-MD,1,PF,2,3,3,1,14,34,1913,5,96.4,102,91.4,98.5,16+
